Sports & Leisure: What New York Yankees captain died when he crashed his plane short of the runway?|Thurman Munson
Geometry: .5 x Base x Height is the formula to find the area of what geometric figure?|Triangle
Algebra: A set of all X such that {X=1,2,3,4...} is the definition for what classification of numbers?|Natural
Algebra: A set of all X such that {X=0,1,2,3,4...} is the definition for what classification of numbers?|Whole
Algebra: A set of all X such that {X=...-3,-2,-1,0,1,2,3...} is the definition for what classification of numbers?|Integers
Geography: What structure's crowning spire stands out in the Courusant skyline?|The Jedi Temple's
History: What Episode I star turned "sweet sixteen" on June 9, 1997?|Natalie Portman
History: What Pulp Fiction star landed a significant role in Episode I?|Samuel L. Jackson
History: What Episode I role was finally cast after casting director Robin Gurland looked at 3,000 actors?|Anakin Skywalker
History: Who starred in the movies Trainspotting and Shallow Grave before landing an Episode I role?|Ewan McGregor
DroidsCreatures & Aliens: What role does Kenny Baker play for the fourth time, in Episode I?|R2-D2
Characters: What two actors did Nick Gillard train to be Jedi's for Episode I?|Liam Neeson and Ewan McGregor
History: Who served as producer of Episode I?|Rick McCallum
History: Who landed a role in Episode I after he announced on a talk show that he was a huge Star Wars fan?|Samuel L. Jackson
Characters: What British actor portrays the Chancellor of the Galactic Senate in Episode I?|Terence Stamp
DroidsCreatures & Aliens: What type of droids monitor ship systems from the socket at the rear of some vehicles, in Episode I?|R2 units, or Astromech droids
Wild Card: What Episode I star was discovered in a pizza parlor in 1992?|Natalie Portman
Characters: What first name did Anakin's mother have?|Shmi
History: What was Trisha Biggar in charge of designing for Episode I?|Costumes
Geography: What Italian city were many Episode I scenes filmed in?|Naples
Geography: What planet serves as the capital of the Galactic Republic in Episode I?|Coruscant
History: Who starred opposite Arnold Schwarzenegger in Jingle All the Way before landing an Episode I role?|Jake Lloyd
Wild Card: What Star Wars role did Ewan McGregor say it would be interesting to play after sticking "some big pastries" on his head?|Princess Leia
Geography: What North African country were Episode I's Tatooine village scenes filmed in?|Tunisia
History: How many Star Wars prequels does George Lucas plan to film?|Three
Characters: Who portrays Anakin Skywalker's mother in Episode I?|Pernilla August
Characters: What political office does Palpatine hold, at the beginning of Episode I?|Senator
Geography: What Episode I city did filmgoers get a glimpse of at the end of Return of the Jedi Special Edition?|Coruscant
Wild Card: What Episode I actor did George Lucas describe as "the center of the movie"?|Liam Neeson
Characters: What Episode I star has been called "the biggest thing out of Scotland since argyle socks"?|Ewan McGregor
Wild Card: What Episode I star majored in physics, computer science and drama at Queens College in Belfast?|Liam Neeson
Characters: What holy city was Natalie Portman born in?|Jerusalem
DroidsCreatures & Aliens: What are power droids also known as in Episode I, due to the strange sound they make?|Gonk Droids
DroidsCreatures & Aliens: Who had the daunting task of overseeing creature effects for Episode I?|Nick Dudman
Characters: What role does Frank Oz reprise in Episode I?|Yoda
Geography: What structure is topped by a ring of spikes?|The Jedi Temple's
Characters: Who portrays the younger version of a character originally played by Sir Alex Guinness?|Ewan McGregor
Characters: What twins are slated to be born in the prequel trilogy?|Luke and Leia
History: What famed Kurosawa film did Liam Neeson draw inspiration from while preparing to play a Jedi warrior in Episode I?|The Seven Samurai
DroidsCreatures & Aliens: What Return of the Jedi gangster also gets to rear his ugly head in Episode I?|Jabba the Hutt
Wild Card: What Episode I star was six years old when the original Star Wars film was first released?|Ewan McGregor
Geography: What Episode I planet consists entirely of one large city?|Coruscant
Characters: Who portrays Anakin Skywalker in Episode I?|Jake Lloyd
Characters: What actor portrays Obi-Wan Kenobi's mentor in Episode I?|Liam Neeson
History: What Episode in the Star Wars saga will feature the marriage of Anakin Skywalker?|Episode II
History: What Episode I star did George Lucas describe as "the perfect young Harrison Ford"?|Ewan McGregor
Wild Card: What Episode I city was first mentioned in a Timothy Zahn novel?|Coruscant
Geography: What Episode I city boasts the most two-mile-high skyscrapers?|Coruscant
History: What did David Tattersall serve as director of for Episode I?|Photography
History: What Episode I star is the real -life nephew of Dennis "Wedge Antilles" Lawson?|Ewan McGregor
DroidsCreatures & Aliens: What droid is ILM (Industrial Light & Magic) model maker Don Bies the foremost expert on the operation of?|R2-D2
Characters: Who was able to schedule her Episode I shooting schedule around rehearsals for a Broadway production of The Diary of Anne Frank?|Natalie Portman
Characters: What Swedish actress plays a key role in Episode I?|Pernilla August
Characters: What astromech droid plays a major role in Episode I?|R2-D2
History: Who penned the screenplay for Episode I?|George Lucas
Characters: Who played Zod in two Superman movies before being tapped to play an Episode I role?|Terence Stamp
Geography: What desert's sandstorm devastated a set during Episode I filming?|The Sahara's
-DroidsCreatures & Aliens: What Episode I star did Liam Neeson describe as "very, very gifted performer and a incredibly funny guy"?|Ahmed Best
Wild Card: What Episode I star first appeared on the silver screen as the friend of the hitman?|Natalie Portman
TravelTrivia: To visit the 2nd largest country in South America you would have to go to what country?|Argentina
TravelTrivia: What city in Mexico's Baja California state is just across the border from San Diego?|Tijuana
TravelTrivia: Although Bern is the capital of Switzerland, what city would you go to if you wanted to visit Switzerland's largest city?|Zurich
TravelTrivia: What German city might you go for an all-beef pattie?|Hamburg, Germany
TravelTrivia: What U.S. river is known as "The Big Muddy"?|Mississippi
TravelTrivia: Who's buried in Grant's tomb?|Grant
TravelTrivia: The Nile is the longest river in the world but what river carries the most water everyday?|Amazon
TravelTrivia: What region in southwestern China was once ruled by the Dalai Lama?|Tibet
TravelTrivia: What commercial and industrial center is the capital of Germany's Bavaria state?|Munich
TravelTrivia: Extending from the Arctic Tundra to the desert north of the Caspian Sea, what mountains separate Europe and Asia?|the Urals
TravelTrivia: All English monarchs since William the Conqueror have been crowned in the same church located in London. What church is it?|Westminster Abbey
TravelTrivia: What is the largest Portugeuse speaking country in the world?|Brazil
TravelTrivia: What do we now call the country that was once known as Siam?|Thailand
TravelTrivia: Uganda can't boast an ocean shore but it does reside on what Lake?|Lake Victoria
TravelTrivia: From what famous European city does the country of Venezuela get its name?|Venice
TravelTrivia: You are standing on a bridge over the river Seine looking at Notre Dame cathedral. Another church in this city is the church of Sacre Coeur. Where are you?|Paris
TravelTrivia: If you going to visit Taj Mahal, Towers of Silence and Golconda, what country will you travel to?|India
TravelTrivia: What color is the circle on the Japanese flag?|red
TravelTrivia: What city is the capital of Bolivia?|Sucre
TravelTrivia: In Italy, a man may be arrested for wearing a what?|skirt
TravelTrivia: What is the capital of Australia?|Canberra
TravelTrivia: What city is home to the Alamo?|San Antonio
TravelTrivia: Which English city is known for its association with Robin Hood and Sherwood Forest?|Nottingham
TravelTrivia: What Hungarian capital is split by the Danube river?|Budapest
TravelTrivia: What country has a 14:1 sheep to human ratio?|New Zealand
TravelTrivia: Which of the following is not a Greek island? Korfu, Crete, Corsica or Kos?|Corsica
TravelTrivia: What city is known as "The Big Apple"?|New York
TravelTrivia: If you were visiting Reykjavik what country would you be in?|Iceland
TravelTrivia: What is the largest Japanese speaking country?|Japan
TravelTrivia: In what USA state is the Petrified Forest located?|Arizona
TravelTrivia: Where would you go to see a tower that leans?|Pisa, Italy
TravelTrivia: The most populated country in western Europe is?|Germany
TravelTrivia: The pyramids in Egypt are located nearest to what city?|Giza
TravelTrivia: In Thailand, it is illegal to leave your house if you are not wearing what?|underwear
TravelTrivia: In Switzerland, it is illegal to do this after 10PM if you live in an Apartment?|flush the toilet
TravelTrivia: What state is known for Mackinac Island Fudge?|Michigan
TravelTrivia: Whose statue is in Trafalgar Square?|Lord Nelson
Dance: Who invented a close fitting garment worn by dancers?|Jules Leotard
Literature: Who wrote "The Sun Also Rises" ?|Ernest Hemingway
History: TRUE OR FALSE: The star in the upper left corner of a United States flag symbolizes the State of Delaware which was the first state to ratify the Constitution.|false
Entertainment: TRUE OR FALSE: Gene Wilder and Richard Pryor co-starred in Mel Brooks' classic comedy Young Frankenstein.|false
People: What is Lee J. Cobb's middle name?|Jacoby
Magazines: TRUE OR FALSE: Better Homes magazine provides "A limited warranty to consumers: Replacement or refund if defective."|false
Science: TRUE OR FALSE: Sound travels faster through the air than underwater.|false
Magazines: TRUE OR FALSE: The biweekly publication Life is the only People knockoff to have survived.|false
Art: Dominican Frairs of Santa Maria, Milan could dine in the shadow of what masterpiece.|The Last Supper
Entertainment: In what state is Andy Griffith's Mayberry located?|North Carolina
History: In 1969, Neil Armstrong and Edwin (Buzz) Aldrin became the first men to walk on the moon. What was the name of their space craft?|Apollo 11
History: How many stones did David carry into battle with Goliath?|five
Nature: What produces the substance known as royal jelly?|Honey Bees
Sports: Where would you have found the famed Murderer's Row?|Yankee Stadium
Architecture: Which of these buildings is the shortest: Toronto Tower, Empire State Building, Eiffel Tower, Washington Monument.|Washington Monument
Geography: TRUE OR FALSE: Wales is a county in the United Kingdom.|false
Geography: TRUE OR FALSE: Mexico City is slowly sinking into the ground.|true
Geography: Mount Lofty Range and the Grampian Mountains are located in what Southern Hemisphere country?|Australia
Geography: Maine is the only state in the U.S. that borders exactly one other state. What is the state it borders?|New Hampshire
Geography: Where can the Grand Canyon be found?|Arizona
Geography: Stone mountain is the only mountain in the world that is actually growing in size because it is made out of granite.  In what United States capital is this mountain located?|Atlanta
Geography: What country was formerly known as New Holland?|Australia
History: Who was the oldest king to succeed to the British throne?|William IV
History: King Henry the VIII of England had how many wives?|six
History: What was the first state to be readmitted to the union after the civil war?|Tennessee
History: Howard Carter made the startling discovery of King Tut's tomb in what year?|1922
Movie Quotes: What movie is this quote from: "They may take our lives, but they will never take OUR FREEDOM!!"|Braveheart
Movie Quotes: "I soiled my armor I was so scared!" is from which movie?|Monty Python and the Holy Grail
Movie Quotes: "The garbage chute was a wonderful idea. What an incredible smell you're discovered." is from which movie?|Star Wars
Movie Quotes: "I've been dead once, already. It's very liberating." is from which movie?|Batman
Movie Quotes: "Just the facts, ma'am." is from which movie?|Dragnet
Geography: The first completely automated, robotic cow milking machine was invented by which country?|Denmark
PresidentsDay: Abraham Lincoln, America's first President, began serving his 1st term in office in what year?|1861
PresidentsDay: Abraham Lincoln was born in Hardin County, KY (now Larue Co.) in what year?|1809
PresidentsDay: In what year was Lincoln elected to the Illinois state legislature.|1834
PresidentsDay: Which president said "A house divided against itself cannot stand"?|Lincoln
PresidentsDay: In May, 1860 Abraham Lincoln was nominated for President by which political party?|Republican
PresidentsDay: On Election Day, November 6, 1860, with Lincoln the decisive winner, how many states had started proceedings to seceed from the Union?|Seven
PresidentsDay: What famous speech of Lincoln's started with the words, "Fourscore and seven years ago"?|Gettysburg Address (Nov. 19, 1863)
PresidentsDay: What was the intent of  Lincoln's Emancipation Proclamation of 1863?|to abolish slavery
PresidentsDay: April 14, 1865, while attending a play at Ford's Theater, Abraham Lincoln was shot. What city was Ford's Theater in?|Washington DC
PresidentsDay: Who became Lincoln's wife in 1842 and gave him four sons?|Mary Todd Lincoln (1818-82)
PresidentsDay: How tall was Abraham Lincoln?|6' 4"
PresidentsDay: What monument was built and designed by American architect, Henry Bacon?|the Lincoln Memorial in Washington DC
PresidentsDay: Where is Abraham Lincoln buried?|Oak Ridge Cemetery, Springfield, Illinois
PresidentsDay: What runs under the Hudson River between NY & NJ?|Lincoln Tunnel
PresidentsDay: Lincoln, Nebraska was initially know by what name before it was renamed when it became the state capitol in 1867?|Lancaster
PresidentsDay: Martin Luther King, Jr. delivered his famous "I Have A Dream" speech in front of what memorial. on August 28, 1963?|Lincoln Memorial
PresidentsDay: Where was George Washington born?|Westmoreland County, VA
PresidentsDay: When is George Washington's birth date?|February 22, 1732
PresidentsDay: In 1755 a young George Washington became the commander in chief of what state's militia?|Virginia
PresidentsDay: In 1758 Washington got married to young widow with 2 young children. What was her name?|Martha Dandridge Custis
PresidentsDay: When did the morale-boosting event of Washington crossing the Delaware River & defeating the British at Trenton & Princeton, NJ occur?|Christmas night 1776
PresidentsDay: The bitter winter of 1777-78 found the Continental Army, led by George Washington camped where?|Valley Forge, PA
PresidentsDay: What is the name of George Washington's estate, located in Fairfax County, VA?|Mount Vernon
PresidentsDay: Washington was called out of retirement to preside at the Constitutional Convention held in what city?|Philadelphia (1787)
PresidentsDay: How old was George Washington when he was chosen as President on April 30, 1789?|57
PresidentsDay: How many years did Washington serve as President of the United States of America?|8 (1789-1797)
PresidentsDay: Standing on the balcony of Federal Hall, Washington took the oath of office as the 1st President of the United States on April 30, 1789 in what city?|New York City
PresidentsDay: On July 4, 1848, the cornerstone of the Washington Monument was laid with same trowel Washington used to lay cornerstone of what other, well-known Washington DC building?|US Capitol Building (1793)
PresidentsDay: In 1871 two cities were consolidated with Washington County to become Washington DC.  Name one of them.|Georgetown
PresidentsDay: Washington D.C. is located at the confluence of the Potomac river and what other river?|Anacostia
PresidentsDay: Washington DC was laid out by a French architect.  What was his name?|Pierre Charles L'Enfant (1791)
True & False: Goat's milk is used more widely throughout the world than cows milk.|True
Numbers: How many U.S. state capitals are named after presidents?|4
Colors: "I'm Dreaming of a _____ Christmas."|white
Sports & Leisure: What member of the British royal family competed in the 1976 Summer Olympics?|Princess Anne
Colors: What color are the Majestic mountains in "America the Beautiful"?|Purple
True & False: If one part of a parallel circuit is broken, the circuit continues to function.|true
Miscellaneous: World War 2 ended in 194_.|5
Art & Literature: Who made his debut in Action Comics No.1?|Superman
Colors: What color is the center stripe on the American flag?|Red
Miscellaneous: Potato chips were invented by a chef in Louisiana in 1865.|True
Colors: What two colors are found on the flags of ALL Central American nations?|blue and white
Geography: What state capital is 10 miles from Princeton University?|Trenton
True & False: You can only see a rainbow if you are not facing the sun.|True
Numbers: How many of the seven dwarf's names do not end with "y"?|2
Numbers: How many faces on a dreydel?|7
Colors: ______stone National Park has 120 named geysers.|Yellow
Science & Nature: What was the Bridge of San Luis Rey made of?|rope
History: What country did Lord Haw Haw broadcast propaganda for in World War 2?|Denmark
Colors: What color did most beatniks wear exclusively?|Black
Numbers: How many planets are between Earth and the sun?|2
Miscellaneous: Wall Streeters called October 29, 1929_____ Tuesday.|black
Entertainment: How many times did Bing Crosby and Bob Hope hit the road films?|7
Colors: "Ho,ho,ho"is heard in the valley of the Jolly _____ Giant.|Green
Colors: What are the New York Yankees two team colors?|Black and White
Art & Literature: What country was the setting of You Only Live Twice?|Japan
Numbers: How many axles does an 18-wheeler have?|5
Geography: What does the River Seine empty into?|The English Channel
History: Who was the first U.S. Billionaire?|John D. Rockefeller
Colors: Rhapsody in ____ was a loose biographical film of George Gershwin.|Blue
Geography: What country covers an entire continent?|Australia
Lord Of The Rings: What was the name of Gandalf's great horse?|Shadowfax
Lord Of The Rings: Who was Bilbo's nephew?|Frodo
Lord Of The Rings: What was Bilbo's family name?|Baggins
Lord Of The Rings: What branch of Bilbo's family did he not like?|Sackville-Baggins
Lord Of The Rings: Name the dragon that destroyed the lake-town of Esgaroth.|Smaug
Lord Of The Rings: Who slew the dragon who was thought to be the King beneath the Mountain?|Bard
Lord Of The Rings: At what age to Hobbits "come of age"?|Thirty three
Lord Of The Rings: By what name was Aragorn known when Frodo first met him?|Strider
Lord Of The Rings: Who were the shepherds of the trees?|The Ents
Lord Of The Rings: What was the name of Frodo's elf-blade?|Sting
Lord Of The Rings: What was Merry's full name?|Meriadoc Brandybuck
Lord Of The Rings: What was Pippin's full name?|Peregrin Took
Lord Of The Rings: What was Lobelia Sackville-Baggins known for snitching from Bilbo?|Silver spoons
Lord Of The Rings: What was Bilbo's age at his birthday party where he disappeared?|One hundred and eleven
Lord Of The Rings: Where did Frodo first meet Aragorn?|The Prancing Pony
Lord Of The Rings: Who was King of the Mark of Rohan?|Theoden
Lord Of The Rings: What was the name of the great Ent host who helped Merry and Pippin?|Treebeard
Lord Of The Rings: What was Gimli's weapon of choice?|Axe
Lord Of The Rings: Who was the heir of Denethor, Lord of the Tower of Guard?|Boromir
Lord Of The Rings: What was Thorin's greatest treasure?|Arkenstone of Thrain
Lord Of The Rings: Name the Orc who tried to steal the hobbits from Ugluk.|Grishnakh
Lord Of The Rings: What do you call a gathering of Ents?|Entmoot
Lord Of The Rings: Name the young, hasty Ent.|Quickbeam (Bregalad)
Lord Of The Rings: When Bilbo first met him, what was Galdalf's trademark color?|Galdalf The Grey
Lord Of The Rings: Who took on the enchanted shape of a bear?|Beorn
Lord Of The Rings: How did Gollum say that he acquired the One ring?|Birthday present
Lord Of The Rings: Who was Bilbo's father?|Bungo Baggins
Lord Of The Rings: Name the second book of the Lord Of The Rings trilogy.|The Two Towers
Lord Of The Rings: What was the title of the prelude book to the Lord Of The Rings trilogy?|The Hobbit
Lord Of The Rings: What year was The Hobbit first published?|1937
Lord Of The Rings: What was Bilbo's original job description, according to Galdalf?|Burglar
Lord Of The Rings: Where was the Mountain Of Fire?|Mordor
Sports & Leisure: Who played hoops with Godzilla in a Nike ad?|Charles Barkley
World: What soul singer said: "Hair and teeth. If a man got those two things, he got it all"?|James Brown
World: Which gabber used the name Rusty Sharpe as a Top 40 disk jockey?|Rush Limbaugh
Sports & Leisure: Who improved her speed in the 50-yard dash by chasing jackrabbits in the Mojave Desert?|Florence Griffith Joyner
History: What member of the Supreme Court once complained about being the victim of a "high-tech lynching"?|Clarence Thomas
World: Whose salute became one of the most widely circulated photos of 1963?|John Kennedy Jr.'s
History: What dictator did George Bush accuse of a crime?|Saddam Hussein
Arts & Entertainment: Who played a fisherman in 1937 and a priest in 1938 to win back-to-back best actor Oscars?|Spencer Tracy
Arts & Entertainment: What TV talk show host did Eddie Murphy give a break to by casting him in "Coming to America"?|Arsenio Hall
People & Places: What U.S. state adopted a cactus blossom as its state flower?|Arizona
World: What rock-and-roller encouraged his teenage girlfriend to make a beehive hair statement?|Elvis Presley
Science & Nature: How many North American species have disappeared since the Pilgrims landed here?|500
Science & Nature: What did the developers dub the first genetically engineered tomato to get FDA approval?|Flavr Savr
Science & Nature: What plant made Queen Elizabeth I gasp in 1560: "It bites like an adder!"?|Tobacco
Sports & Leisure: What's the only country to have played in every World Cup soccer tournament?|Brazil
World: Which president watched the most movies in his first year at the White House?|Bill Clinton
Arts & Entertainment: What four-letter word does Madonna sing most often, ranking ahead of "baby" and "time"?|Love
People & Places: What war-torn former Olympic city saw Susan Sontag direct "Waiting for Godot" in 1993?|Sarajevo
People & Places: How many stripes did the U.S. flag sport from 1795 to 1818?|Fifteen
Science & Nature: What metallic element do you need 15 pounds of to build an atomic bomb?|Plutonium
History: Who was the English queen, who had Mary Queen of Scots killed but named Mary's son her successor?|Elizabeth I
Arts & Entertainment: What movie did Paramount production head Dawn Steel dub "a female Rocky"?|Flashdance
Arts & Entertainment: Who helmed four of the top 10 highest-grossing movies before finally winning an Oscar for his craft?|Steven Spielberg
Arts & Entertainment: What three-word mantra do Wayne and Garth repeat upon meeting Alice Cooper in "Wayne's World"?|We're not worthy!
Science & Nature: What fly's appearance in 1975 threatened California's $16 billion agricultural industry?|The Mediterranean fruit fly's
World: What actress, wife of the company president, became this company's spokesperson in 1954?|Joan Crawford
Sports & Leisure: What substitute catcher, a lifetime .200 hitter, made 80 appearances on the "Tonight" show?|Bob Uecker
World: What celebrity is with Richard Nixon in the National Archives' most-requested photo?|Elvis Presley
World: What biblical prophet was hurled onto the beach?|Jonah
Sports & Leisure: Which tendon, named for a thick-skinned Greek, is most likely to cause men trouble?|Achilles
Science & Nature: What 1993 movie had folks gushing over the fate of an Orca whale?|Free Willy
Arts & Entertainment: What type of enemy jet do potential Top Guns fight?|MiGs
People & Places: What city rings in the new year with a descending ball or apple?|New York
History: Which member of a royal couple admitted: "I'm as thick as a plank"?|Princess Diana
People & Places: What is one of the three U.S. states that Glacier National Park is found in?|Idaho, Montana, Wyoming
Science & Nature: What's the term for a device that uses the sun and horizon to determine location?|Sextant
Science & Nature: What product is well known for the slogan: "Plop plop, fizz fizz, oh what a relief it is!"?|Alka-Seltzer
History: What were shantytowns of the homeless dubbed during the Depression?|Hoovervilles
Sports & Leisure: Who broke 93 bones trying to leap 36 cars on his motorcycle at the Astrodome?|Evel Knievel
World: Which future president would later see an exuberant Sammy Davis Jr. embrace him, from behind?|Richard Nixon
People & Places: What Caribbean nation saw its military leader threaten a man with a "voodoo curse" in 1994?|Haiti
World: What six words completed the 1980s bumper sticker that started with "I owe, I owe"?|So off to work I go
Arts & Entertainment: What 6.5-ton attraction was bought from the London Zoo over Queen Victoria's protest?|Jumbo
Sports & Leisure: What chess piece is second in strength only to the queen?|Rook
History: Whose heroics were cheered by all but New York City's street maintenance crew in 1927?|Charles Lindbergh's
Sports & Leisure: Who won the NBA's MVP award in 1984, 1985 and 1986?|Larry Bird
Science & Nature: What biblical unit of measure was defined as the length of forearm to fingertip on a grown man?|Cubit
Arts & Entertainment: What Led Zeppelin tune was a rewrite of Willie Dixon's "You Need Love"?|Whole Lotta Love
Science & Nature: What's the common term for the layout of a computer keyboard?|QWERTY keyboard
People & Places: What did Richard Gere's model and wife-to-be fashion from Reynolds Wrap before a quickie Las Vegas marriage?|Wedding rings
People & Places: Which country out-vetoed the other 48-to-4 in the United Nations Security Council in the 1980s?|The U.S.
People & Places: What city attracted Van Gogh and Toulouse-Lautrec to its bohemian Montmartre district?|Paris
History: Who committed "The Slice Felt Round the World" in 1993?|Lorena Bobbitt
History: Who's portrayed on the Purple Heart medal?|George Washington
Sports & Leisure: Who's the shortest basketballer to win the NBA's Slam Dunk contest?|Spud Webb
Science & Nature: How many bolts of lightning strike somewhere on Earth each second?|100
People & Places: What city boasts the world's largest Kentucky Fried Chicken restaurant?|Beijing
Arts & Entertainment: What "Saturday Night Live" character's signature line was: "Well, isn't that special?"|Church Lady's
Science & Nature: What prevented Alexander Graham Bell from using the telephone to speak to his wife?|Her deafness
Arts & Entertainment: What precocious preteen on "Saturday Night Live" sat in an oversized rocking chair?|Edith Ann
World: What late German is the world's most-often-cited author in academic journals?|Karl Marx
Science & Nature: What are Eskimos believed to have 600 words for?|Snow
Science & Nature: What emissions from cars dropped an amazing 96 percent in the U.S. from 1983 to 1993?|Lead emissions
Science & Nature: Which of Stephen Hawkings books is subtitled "From the Big Bang to the Black Holes"?|A Brief History of Time
Sports & Leisure: What feat was Nolan Ryan the oldest pitcher in major league history to achieve, at age 43?|Pitching a no-hitter
Science & Nature: What dangerous disease do dogs spread in the U.S. northeast and elsewhere?|Rabies
People & Places: What Pacific island is home to mysterious statues?|Easter Island
Science & Nature: What animal does the Australian government authorize killing two million of per year?|Kangaroo
Arts & Entertainment: What Gloria Gaynor chart-topper was originally the "B" side of the single "Substitute"?|I Will Survive
Arts & Entertainment: What's the name of the classic two-volume compendium from Rudyard Kipling?|The Jungle Books
People & Places: Who answered a "Today" show question on French leader Valery Giscard d'Estaing with "Who?"?|Ronald Reagan
Arts & Entertainment: What '50s sitcom airs every hour of every day somewhere in the world?|I Love Lucy
Science & Nature: What archipelago did Charles Darwin call the "origin of all my views"?|The Galapagos
Sports & Leisure: What Clinton cabinet member wrestled an aligator for sport in the Everglades?|Janet Reno
World: Who was Hugh Hefner's first "Sweetheart of the Month"?|Marilyn Monroe
Science & Nature: What unit of sound intensity commemorates an inventor's last name?|Decibel
People & Places: Whose first night in jail prompted her hubby, Harry, to kill the lights in a skyscraper's tower?|Leona Helmsley's
Arts & Entertainment: What Jefferson Airplane hit described Alice of Wonderland fame as being 10 feet tall?|White Rabbit
History: What kind of "shadow" adversely affected the telegenics of Richard Nixon in a 1960 debate?|Five o'clock shadow
People & Places: What U.S. holiday took flight from a humble Pilgrim beginning?|Thanksgiving
Science & Nature: How many species of sea turtles aren't endangered?|Zero
World: Who did Frank Sinatra reportedly call "Botto" before his duet on "I've Got You Under My Skin"?|Bono
Science & Nature: What president's name adorns the plaque left on the moon by the first astronauts to visit there?|Richard Nixon's
People & Places: What 98-acre piece of real estate does the Imperial Palace in China overlook?|Tiananmen Square
World: Which famous outlaw was a souvenir seeker trying to saw an ear off when the coroner stepped in?|Clyde Barrow
World: Who declared: "Everybody is ignorant, only on different subjects"?|Will Rogers
People & Places: What nation sees Mount Everest share a border with Tibet?|Nepal
People & Places: What amusement park has had three of its rides designated as New York City historical landmarks?|Coney Island
People & Places: Who tap-danced at the Toledo, Ohio, Elks Club before turning to feminist pursuits?|Gloria Steinem
Sports & Leisure: In blackjack, a hand of Ace and Nine can count as Ten or what?|Twenty
People & Places: What is the name of the isle that John and Paul want to summer on at age 64 "if it's not too dear"?|The Isle of Wight
Arts & Entertainment: What kind of pet did the Beaver and Wally hide from June and Ward in their toilet tank?|Alligator
Sports & Leisure: What term was coined to describe a man's pioneering approach to clearing a high jump bar?|The Fosbury flop
Science & Nature: What type of power enables a submarine to circle the globe without surfacing?|Nuclear
Arts & Entertainment: Whose 1994 "Letterman" appearance did Charles Grodin spoof by handing Dave his boxer shorts?|Madonna's
Arts & Entertainment: What Shakespeare play included creatures named Peaseblossom, Cobweb and Mustardseed?|A Midsummer Night's Dream
People & Places: What color flower should never be sent to newlyweds in Hong Kong?|White
World: What pop star bid adieu to his "Uptown Girl" during the Thanksgiving holidays in 1993?|Billy Joel
Science & Nature: Which of Thomas Edison's inventions did skeptic Jean Bouillaud attribute to ventriloquism?|Phonograph
World: What did Angela Bowie say she made after she saw David in bed with Mick Jagger?|Breakfast
People & Places: Where could you float a boat at 1,292 feet below sea level?|The Dead Sea
World: What action star signed a $500,000 pact to include cigarettes in five feature films?|Sylvester Stallone
Sports & Leisure: What pitcher's 2.58 earned run average was tops in the major leagues during the 1970s?|Jim Palmer's
People & Places: Which is Big Ben - the tower, the clock or the bell?|Bell
Sports & Leisure: What Minnesota Twin noted: "You don't get to pick your body. God just hands 'em out as He sees fit"?|Kirby Puckett
World: What enduring entree did McDonalds unleash on the world in 1983?|Chicken McNuggets
History: What U.S. service academy displays "Bring Me Men..." atop a main quad entrance, despite female cadets?|The Air Force Academy
World: Whose movies were banned in Germany when she defied a Nazi order to return to her homeland?|Marlene Dietrich's
Science & Nature: How many in eight smokers will die as a direct result of tobacco, according to a 1994 study?|Four
People & Places: What's the official language of Brazil?|Portuguese
World: What 1960 chart-topper celebrated beach wear?|Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
World: What flamboyant country diva chirped: "You'd be surprised how much it costs to look this cheap"?|Dolly Parton
People & Places: What future "Saturday Night Live" star attended a Long Island high school?|Eddie Murphy
Arts & Entertainment: What movie saw Whoopi Goldberg receive an Oscar nomination for her first screen role?|The Color Purple
Sports & Leisure: What basketballer's reluctance to talk to the media prompted them to dub him "The Silent Sycamore"?|Larry Bird's
History: What country did the "President-for-Life" beat a hasty retreat from on February 7, 1986?|Haiti
Science & Nature: Which of Little Richard's songs did a Georgia politician push as the state rock song?|Tutti Frutti
History: What holy man built an air-conditioned doghouse before going to the pen for misusing funds?|Jim Bakker
Science & Nature: What U.S. state saw 60 people and much wildlife perish when a volcano erupted in 1980?|Washington
History: What month saw the New York Stock Exchange's biggest price dives in both 1929 and 1987?|October
People & Places: Who thrilled the Woodstock festival crowd with a rendition of a patriotic melody?|Jimi Hendrix
Sports & Leisure: What 10-time Chicago Cubs all-star abruptly retired three months into the 1994 season?|Ryne Sandberg
Arts & Entertainment: What onetime "Mission: Impossible" star suffered lung cancer, a brain tumor and a car crash?|Greg Morris
People & Places: What Judith Krantz TV miniseries had eight days of shooting in New York City and 75 in Toronto?|I'll Take Manhattan
People & Places: What four-letter nickname do Londoners apply to their subway?|The tube
Sports & Leisure: What New York Yankees star was classified 4-F due to osteomyelitis in his left shin?|Mickey Mantle
World: What woman was the top gun in Buffalo Bill's Wild West Show?|Annie Oakley
World: Whose TV talk show had an elected official and Ross Perot clashing over NAFTA?|Larry King's
Sports & Leisure: What champ of chess ended a 20-year exile in 1992 to play Boris Spassky?|Bobby Fischer
World: What pre-"Flashdance" film also boasted a hit title tune sung by Irene Cara?|Fame
People & Places: What pioneering special effects company is located at Stephen Spielberg's facility in Marin County, California?|Industrial Light & Magic
People & Places: Who took out an ad in the "The New York Times" suggesting Saddam Hussein "check out" of Kuwait?|Leona Helmsley
